iter	Passed	Remaining
0	171	171260
1	179	89775
2	190	63149
3	199	49634
4	208	41575
5	218	36178
6	227	32267
7	237	29482
8	247	27303
9	256	25412
10	266	23960
11	275	22702
12	283	21539
13	292	20621
14	301	19822
15	312	19222
16	321	18606
17	331	18078
18	340	17562
19	349	17118
20	359	16743
21	369	16430
22	379	16135
23	389	15845
24	401	15667
25	410	15385
26	420	15151
27	429	14911
28	438	14696
29	448	14505
30	458	14318
31	466	14111
32	476	13976
33	487	13847
34	496	13686
35	505	13545
36	515	13407
37	524	13280
38	534	13159
39	545	13095
40	555	12988
41	565	12889
42	571	12714
43	580	12609
44	589	12519
45	598	12420
46	608	12330
47	617	12249
48	626	12160
49	636	12098
50	646	12031
51	656	11960
52	665	11887
53	674	11823
54	680	11698
55	689	11621
56	698	11556
57	707	11497
58	716	11434
59	726	11380
60	735	11320
61	746	11289
62	756	11245
63	765	11201
64	778	11200
65	801	11343
66	813	11326
67	826	11321
68	837	11299
69	849	11282
70	860	11252
71	871	11234
72	882	11210
73	895	11202
74	905	11171
75	917	11154
76	928	11133
77	938	11098
78	950	11082
79	964	11089
80	977	11085
81	987	11057
82	1000	11048
83	1013	11046
84	1023	11015
85	1033	10985
86	1043	10953
87	1054	10923
88	1064	10894
89	1075	10875
90	1085	10844
91	1094	10806
92	1105	10778
93	1115	10749
94	1125	10723
95	1136	10703
96	1147	10681
97	1160	10676
98	1169	10645
99	1180	10624
100	1190	10598
101	1200	10564
102	1209	10535
103	1219	10502
104	1230	10488
105	1242	10478
106	1253	10459
107	1263	10438
108	1275	10422
109	1285	10398
110	1296	10385
111	1307	10368
112	1317	10342
113	1326	10310
114	1336	10288
115	1347	10270
116	1358	10249
117	1368	10229
118	1381	10226
119	1391	10207
120	1401	10178
121	1412	10162
122	1423	10152
123	1433	10129
124	1444	10108
125	1454	10087
126	1464	10065
127	1475	10050
128	1485	10032
129	1495	10008
130	1506	9993
131	1517	9977
132	1528	9965
133	1539	9951
134	1549	9929
135	1560	9911
136	1570	9890
137	1580	9870
138	1589	9848
139	1599	9827
140	1611	9818
141	1621	9798
142	1631	9777
143	1643	9768
144	1657	9772
145	1669	9765
146	1680	9752
147	1694	9754
148	1706	9745
149	1716	9728
150	1727	9710
151	1737	9694
152	1747	9676
153	1759	9668
154	1772	9664
155	1784	9653
156	1794	9634
157	1804	9614
158	1814	9595
159	1824	9578
160	1833	9556
161	1843	9537
162	1853	9515
163	1862	9491
164	1871	9471
165	1880	9447
166	1892	9439
167	1902	9420
168	1911	9398
169	1921	9379
170	1930	9356
171	1941	9344
172	1950	9325
173	1959	9304
174	1970	9289
175	1981	9275
176	1990	9256
177	2000	9240
178	2010	9221
179	2020	9205
180	2033	9201
181	2044	9186
182	2054	9171
183	2065	9158
184	2075	9144
185	2085	9127
186	2095	9108
187	2104	9089
188	2113	9069
189	2123	9052
190	2132	9033
191	2142	9014
192	2152	8998
193	2164	8994
194	2175	8979
195	2186	8970
196	2198	8961
197	2208	8947
198	2224	8952
199	2237	8948
